"Ordem";"Estabelecimento";"Forma Ocupação Prédio";"Local Funcionamento"
1;"ESC MUL 4º CENTENÁRIO";"CEDIDO";"PRÉDIO ESCOLAR"
1;"ESC MUL 4º CENTENÁRIO";"-";"OUTRO LUGAR"
2;"ESC MUL CELESTINO PIMENTEL";"PRÓPRIO";"PRÉDIO ESCOLAR"
3;"ESC MUL CHICO SANTEIRO";"PRÓPRIO";"PRÉDIO ESCOLAR"
4;"ESC MUL DJALMA MARANHÃO";"PRÓPRIO";"PRÉDIO ESCOLAR"
5;"ESC MUL ESTUDANTE EMMANUEL BEZERRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
6;"ESC MUL FERREIRA ITAJUBÁ ENS DE 1º GRAU";"PRÓPRIO";"PRÉDIO ESCOLAR"
7;"ESC MUL HENRIQUE CASTRICIANO";"PRÓPRIO";"PRÉDIO ESCOLAR"
7;"ESC MUL HENRIQUE CASTRICIANO";"-";"OUTRO LUGAR"
8;"ESC MUL IRMÃ ARCÂNGELA ENSINO DE 1º GRAU";"PRÓPRIO";"PRÉDIO ESCOLAR"
9;"ESC MUL JOÃO PAULO II";"PRÓPRIO";"PRÉDIO ESCOLAR"
10;"ESC MUL JOÃO XXIII";"PRÓPRIO";"PRÉDIO ESCOLAR"
11;"ESC MUL JORNALISTA ERIVAN FRANÇA";"PRÓPRIO";"PRÉDIO ESCOLAR"
12;"ESC MUL JUVENAL LAMARTINE";"PRÓPRIO";"PRÉDIO ESCOLAR"
13;"ESC MUL MONSENHOR JOAQUIM HONÓRIO";"PRÓPRIO";"PRÉDIO ESCOLAR"
14;"ESC MUL MONSENHOR JOSÉ ALVES LANDIM";"PRÓPRIO";"PRÉDIO ESCOLAR"
15;"ESC MUL NOSSA SRA DA APRESENTAÇÃO";"-";"SALAS DE EMPRESA"
16;"ESC MUL NOSSA SRA DAS DORES";"-";"OUTRO LUGAR"
17;"ESC MUL NOSSA SRA DOS NAVEGANTES";"-";"OUTRO LOCAL"
17;"ESC MUL NOSSA SRA DOS NAVEGANTES";"PRÓPRIO";"PRÉDIO ESCOLAR"
18;"ESC MUL PREF MÁRIO LIRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
19;"ESC MUL PROF AMADEU ARAÚJO";"PRÓPRIO";"PRÉDIO ESCOLAR"
19;"ESC MUL PROF AMADEU ARAÚJO";"-";"OUTRO LUGAR"
20;"ESC MUL PROF ANTÔNIO CAMPOS E SILVA";"PRÓPRIO";"PRÉDIO ESCOLAR"
21;"ESC MUL PROF ANTÔNIO SEVERIANO";"PRÓPRIO";"PRÉDIO ESCOLAR"
22;"ESC MUL PROF ARNALDO MONTEIRO BEZERRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
23;"ESC MUL PROF ASCENDINO DE ALMEIDA";"PRÓPRIO";"PRÉDIO ESCOLAR"
24;"ESC MUL PROF BERILO WANDERLEY";"PRÓPRIO";"PRÉDIO ESCOLAR"
25;"ESC MUL PROF BERNARDO DO NASCIMENTO";"PRÓPRIO";"PRÉDIO ESCOLAR"
26;"ESC MUL PROF CARLOS BELLO MORENO";"PRÓPRIO";"PRÉDIO ESCOLAR"
27;"ESC MUL PROF EUDO JOSÉ ALVES";"ALUGADO";"PRÉDIO ESCOLAR"
28;"ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI";"PRÓPRIO";"PRÉDIO ESCOLAR"
29;"ESC MUL PROF HERLY PARENTE";"PRÓPRIO";"PRÉDIO ESCOLAR"
30;"ESC MUL PROF JOSÉ DE ANDRADE FRAZÃO";"PRÓPRIO";"PRÉDIO ESCOLAR"
31;"ESC MUL PROF JOSÉ DO PRATOCÍNIO PEREIRA PINTO";"PRÓPRIO";"PRÉDIO ESCOLAR"
32;"ESC MUL PROF JOSÉ MELQUIADES DE MACEDO";"ALUGADO";"PRÉDIO ESCOLAR"
33;"ESC MUL PROF LAÉRCIO FERNANDES MONTEIRO";"PRÓPRIO";"PRÉDIO ESCOLAR"
34;"ESC MUL PROF LUÍS MARANHÃO FILHO";"PRÓPRIO";"PRÉDIO ESCOLAR"
35;"ESC MUL PROF OTTO DE BRITO GUERRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
36;"ESC MUL PROF REGINALDO FERREIRA NETO";"PRÓPRIO";"PRÉDIO ESCOLAR"
37;"ESC MUL PROF ULISSES DE GOIS";"PRÓPRIO";"PRÉDIO ESCOLAR"
38;"ESC MUL PROF VERÍSSIMO DE MELO";"PRÓPRIO";"PRÉDIO ESCOLAR"
39;"ESC MUL PROF WALDSON JOSÉ BASTOS PINHEIRO";"PRÓPRIO";"PRÉDIO ESCOLAR"
40;"ESC MUL PROF ZUZA";"-";"OUTRO LUGAR"
40;"ESC MUL PROF ZUZA";"PRÓPRIO";"PRÉDIO ESCOLAR"
41;"ESC MUL PROFA ADELINA FERNANDES";"PRÓPRIO";"PRÉDIO ESCOLAR"
42;"ESC MUL PROFA ALMERINDA BEZERRA FURTADO";"PRÓPRIO";"PRÉDIO ESCOLAR"
43;"ESC MUL PROFA ANGÉLICA DE ALMEIDA MOURA";"PRÓPRIO";"PRÉDIO ESCOLAR"
44;"ESC MUL PROFA DALVA DE OLIVEIRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
45;"ESC MUL PROFA EMÍLIA RAMOS";"PRÓPRIO";"PRÉDIO ESCOLAR"
46;"ESC MUL PROFA FRANCISCA DE OLIVEIRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
47;"ESC MUL PROFA FRANCISCA FERREIRA DA SILVA";"PRÓPRIO";"PRÉDIO ESCOLAR"
48;"ESC MUL PROFA IAPISSARA AGUIAR";"PRÓPRIO";"PRÉDIO ESCOLAR"
49;"ESC MUL PROFA IVONETE MACIEL";"-";"OUTRO LUGAR"
50;"ESC MUL PROFA JOSEANE COUTINHO DIAS";"ALUGADO";"PRÉDIO ESCOLAR"
51;"ESC MUL PROFA JOSEFA BOTELHO";"PRÓPRIO";"PRÉDIO ESCOLAR"
52;"ESC MUL PROFA LAURA MAIA";"PRÓPRIO";"PRÉDIO ESCOLAR"
53;"ESC MUL PROFA LOURDES GODEIRO";"PRÓPRIO";"PRÉDIO ESCOLAR"
54;"ESC MUL PROFA MALVINA COSME";"PRÓPRIO";"PRÉDIO ESCOLAR"
55;"ESC MUL PROFA MARECI GOMES DOS SANTOS";"PRÓPRIO";"PRÉDIO ESCOLAR"
56;"ESC MUL PROFA MARIA ALEXANDRINA SAMPAIO";"PRÓPRIO";"PRÉDIO ESCOLAR"
57;"ESC MUL PROFA MARIA CRISTINA OZÓRIO TAVARES";"PRÓPRIO";"PRÉDIO ESCOLAR"
58;"ESC MUL PROFA MARIA DALVA GOMES BEZERRA";"PRÓPRIO";"PRÉDIO ESCOLAR"
59;"ESC MUL PROFA MARIA MADALENA XAVIER DE ANDRADE";"PRÓPRIO";"PRÉDIO ESCOLAR"
60;"ESC MUL PROFA NOILDE PESSOA RAMALHO";"PRÓPRIO";"PRÉDIO ESCOLAR"
61;"ESC MUL PROFA PALMIRA DE SOUZA";"PRÓPRIO";"PRÉDIO ESCOLAR"
62;"ESC MUL PROFA TÂNIA ALMEIDA";"ALUGADO";"PRÉDIO ESCOLAR"
63;"ESC MUL PROFA TEREZA SATSUQUI";"ALUGADO";"PRÉDIO ESCOLAR"
64;"ESC MUL PROFA TEREZINHA PAULINO DE LIMA";"PRÓPRIO";"PRÉDIO ESCOLAR"
65;"ESC MUL PROFA VERA LÚCIA SOARES BARROS";"PRÓPRIO";"PRÉDIO ESCOLAR"
66;"ESC MUL PROFA ZENEIDE IGINO DE MOURA";"PRÓPRIO";"PRÉDIO ESCOLAR"
67;"ESC MUL PROFA ZULEIDE FERNANDES DE M SILVA";"PRÓPRIO";"PRÉDIO ESCOLAR"
68;"ESC MUL SANTA CATARINA";"PRÓPRIO";"PRÉDIO ESCOLAR"
69;"ESC MUL SANTOS REIS";"PRÓPRIO";"PRÉDIO ESCOLAR"
70;"ESC MUL SÃO FRANCISCO DE ASSIS";"-";"TEMPLO/IGREJA"
70;"ESC MUL SÃO FRANCISCO DE ASSIS";"PRÓPRIO";"PRÉDIO ESCOLAR"
71;"ESC MUL SÃO JOSÉ";"PRÓPRIO";"PRÉDIO ESCOLAR"
72;"ESC MUL VEREADOR JOSÉ SOTERO";"PRÓPRIO";"PRÉDIO ESCOLAR"
